QoQ,AASPREAD_QCH_LAG0,DJIA_QLG_LAG0,DJTS_QLG_LAG0,EAFE_QLG_LAG0,GL_VIXA_QCH_LAG0,IGSPREAD_QCH_LAG0,SP500_QLG_LAG0,US_BAAYLD_QCH_LAG0,US_BABX_QLG_LAG0,US_COPF_QLG_LAG0,US_GDP_N_QLG_LAG0,US_INC_N_QLG_LAG0,US_LIBOR1M_QCH_LAG0,US_LIBOR1Y_QCH_LAG0,US_LIBOR3M_QCH_LAG0,US_LIBOR6M_QCH_LAG0,US_M2_N_QLG_LAG0,US_TYLD10Y_QCH_LAG0,US_TYLD1Y_QCH_LAG0,US_TYLD3M_QCH_LAG0,US_TYLD5Y_QCH_LAG0,US_TYLD6M_QCH_LAG0,US_VIXMAX_QCH_LAG0
-0.00230464,0.29,0.035675951,0.010150706,-0.030274421,7.77,0.43,0.015444832,0.21,0.028047346,-0.043034631,0.010554297,0.005943727,0.12,-0.14,0.09,0,0.008257481,-0.12,-0.41,-0.45,-0.26,-0.4,11.9
-0.005380484,0.46,-0.046458333,-0.03752843,-0.03300282,0.62,0.49,-0.039000669,-0.14,0.02960078,-0.027169628,0.010028664,0.009968081,-0.52,-0.6,-0.42,-0.47,0.014335656,-0.47,-0.9,-0.95,-0.71,-0.91,0.3
0.013645902,0.6,-0.078535466,-0.104919289,-0.168848564,4.01,0.78,-0.104498271,0.26,0.021480027,-0.067262767,-0.002079605,0.01191808,-1.64,-1.69,-1.77,-1.75,0.021632833,-0.6,-1.52,-1.38,-1.04,-1.54,1.1
-0.024327493,-0.35,-0.0773607,-0.02035773,-0.021680777,-5.47,-0.21,-0.032815024,0.17,-0.010252849,-0.01729066,0.010496895,0.026254032,-0.69,0.17,-0.51,-0.22,0.017491025,0.23,-0.03,-0.44,0.41,-0.27,-8.1
0.041097439,0.07,-0.04498815,-0.095909603,-0.145603849,4.43,1.47,-0.092937996,0.41,-0.004950328,0.005845406,0.001997248,-0.013970868,0.03,0.21,0.16,0.26,0.004122278,-0.03,0.05,-0.13,-0.05,-0.02,22.6
0.097008103,1.38,-0.212163293,-0.266795682,-0.209745509,33.65,1.08,-0.255622637,1.43,0.044795677,-0.299063316,-0.018759034,-0.009931081,-0.45,-0.3,-0.19,-0.29,0.036802786,-0.61,-1.13,-1.22,-0.93,-1.12,34.2
0.004327893,-0.14,-0.142747686,-0.11855348,-0.114783841,-13.72,-0.11,-0.124071448,-0.62,0.001168425,0.209571816,-0.011397512,-0.029130508,-1.71,-0.97,-1.48,-1.16,0.034800246,-0.51,-0.42,-0.08,-0.42,-0.34,-24.2
-0.05470014,-0.86,0.104492734,0.149654658,0.142881976,-11.96,-2.07,0.141629235,-0.35,0.0176345,0.022609179,-0.002894177,0.007776451,-0.09,-0.27,-0.39,-0.34,0.011375628,0.57,-0.05,-0.05,0.47,-0.08,-14.4
-0.046211173,-0.69,0.139581775,0.146124624,0.132632381,-7.58,-0.77,0.139672078,-1.14,0.036772502,0.126211868,0.004684924,-0.003722824,-0.1,-0.36,-0.44,-0.57,-0.004890102,0.21,-0.07,-0.01,0.24,-0.07,-11
-0.0201125,-0.3,0.071110962,0.051574865,0.028957556,-2.39,-0.41,0.053414777,-0.33,0.002014623,0.063443689,0.014300564,0.007200945,-0.03,-0.3,-0.14,-0.31,0.011160976,-0.06,-0.1,-0.1,-0.17,-0.09,-0.6
-0.015608579,0.14,0.040269104,0.055305839,0.035671137,-2.77,-0.21,0.04754671,0,0.01769616,0.056800366,0.006364717,0.012343812,-0.01,-0.23,-0.01,-0.12,0.003085477,0.26,0.02,0.05,0.12,0.03,-3.4
0.01688671,0.49,-0.105047391,-0.122445874,-0.129097262,6.1,0.43,-0.126252614,-0.15,0.034294807,-0.001096425,0.013809141,0.017498478,0.08,0.22,0.18,0.23,0.009479299,-0.23,0.01,0.04,-0.17,0.03,18.5
-0.033292767,-0.02,0.098717876,0.104119821,0.062630575,-2.14,-0.19,0.101842157,-0.43,0.024474617,0.094157084,0.010251373,0.011413414,-0.02,-0.13,-0.05,-0.04,0.001606071,-0.7,-0.11,0.01,-0.7,-0.03,-12.9
0.013610201,-0.24,0.070619885,0.105728655,0.051102737,-4.93,-0.14,0.097124802,0.1,-0.013076038,0.014319002,0.010613311,0.013043714,-0.03,-0.19,-0.1,-0.14,0.019530566,0.07,-0.01,-0.02,-0.06,-0.01,-9.4
0.01421831,-0.16,0.062136048,0.05748624,0.003116627,-0.86,-0.14,0.052810908,0.21,0.004195683,-0.090596895,0.002948251,0.027451541,0,0.01,0.02,0.01,0.01482867,0.6,0.01,-0.01,0.63,-0.01,5.9
